week,cases,incidence
2014-42,309,768.8097133758
2014-43,272,696.0794349473
2014-44,325,762.6243664351
2014-45,383,883.4044516203
2014-46,331,744.3052775966
2014-47,390,855.4695211564
2014-48,369,897.3517181002
2014-49,395,982.7826433121
2014-50,401,993.0166906047
2014-51,449,1176.994862116
2014-52,0,0
2015-01,0,0
2015-02,360,830.3540537424
2015-03,469,962.0512820513
2015-04,548,1178.0892596096
2015-05,665,1567.4350634045
2015-06,846,1951.3320262946
2015-07,890,2052.8197439742
2015-08,680,1461.862584917
2015-09,797,1699.5777711434
2015-10,690,1329.1468418315
2015-11,552,1136.6912400643
2015-12,521,1025.6713127018
2015-13,418,1021.2059024724
2015-14,92,405.2863436123
2015-15,96,328.6208194982
