Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2007-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
2007-03,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
2007-04,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,
2007-05,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,
2007-06,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,
2007-07,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,
2007-08,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,
2007-09,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,
2007-10,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,
2007-11,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,
2007-12,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,
2007-13,,0.0,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,
2007-14,,0.0,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,,0.0,,
2007-15,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-16,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-17,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-18,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-19,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-20,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-21,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-22,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-23,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-24,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-25,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-26,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-27,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-28,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-29,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-30,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-31,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-32,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-33,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-34,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
2007-35,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,
