week,cases,incidence
2015-42,293,769.5944526161
2015-43,257,722.4580440222
2015-44,219,657.1248537222
2015-45,266,645.7721346896
2015-46,268,708.6010417493
2015-47,287,711.8408651223
2015-48,264,693.4229880227
2015-49,277,798.2478891098
2015-50,266,766.548514452
2015-51,307,710.8291463104
2015-52,0,0
2016-01,220,643.2560451449
2016-02,380,782.6015322514
2016-03,534,1038.4054448226
2016-04,502,1193.3628108211
2016-05,697,1542.5473055218
2016-06,751,1694.8005055064
2016-07,639,1347.1917692697
2016-08,760,1522.1309833767
2016-09,659,1248.1296994261
2016-10,578,1094.7177029868
2016-11,542,1176.7515577846
2016-12,164,605.4564920442
2016-13,63,360.5150214592
2016-14,59,326.0028732457
2016-15,0,0
