Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2008-42,846,309,1098775,0.28
2008-43,859,302,1120921,0.27
2008-44,895,380,1169369,0.32
2008-45,913,510,1187706,0.43
2008-46,901,566,1170373,0.48
2008-47,923,740,1199961,0.62
2008-48,932,930,1215980,0.76
2008-49,930,1078,1212677,0.89
2008-50,937,1400,1220694,1.15
2008-51,926,1886,1207894,1.56
2008-52,899,2350,1174447,2
2009-01,921,3823,1202722,3.18
2009-02,948,5446,1236473,4.4
2009-03,948,7748,1233964,6.28
2009-04,939,10061,1222667,8.23
2009-05,941,9375,1227083,7.64
2009-06,928,8012,1205860,6.64
2009-07,937,6265,1220852,5.13
2009-08,915,4973,1193113,4.17
2009-09,905,4405,1178157,3.74
2009-10,900,3417,1174522,2.91
2009-11,891,2502,1162785,2.15
2009-12,884,1984,1148544,1.73
2009-13,866,1607,1118649,1.44
2009-14,853,1293,1116091,1.16
2009-15,810,803,1058547,0.76
2009-16,799,609,1043951,0.58
2009-17,803,521,1062890,0.49
2009-18,783,465,1025992,0.45
2009-19,754,543,985177,0.55
2009-20,736,445,964075,0.46
2009-21,721,363,944952,0.38
2009-22,665,283,885828,0.32
2009-23,658,188,866561,0.22
2009-24,644,160,850121,0.19
2009-25,633,132,835809,0.16
2009-26,619,135,814573,0.17
2009-27,580,95,762295,0.12
2009-28,564,92,742370,0.12
2009-29,593,139,774909,0.18
2009-30,608,204,798177,0.26
2009-31,595,186,786463,0.24
2009-32,585,142,776267,0.18
2009-33,542,129,749231,0.17
2009-34,575,128,760423,0.17
2009-35,579,193,767154,0.25
2009-36,625,244,827449,0.29
2009-37,638,315,844831,0.37
2009-38,650,407,863868,0.47
2009-39,675,662,893619,0.74
2009-40,658,919,875943,1.05
2009-41,561,1098,742068,1.48
