Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2015-42,821,425,1065225,0.4
2015-43,928,604,1204096,0.5
2015-44,956,842,1245366,0.68
2015-45,974,966,1264970,0.76
2015-46,987,1180,1343418,0.88
2015-47,1002,1387,1358812,1.02
2015-48,1003,1580,1357498,1.16
2015-49,996,1632,1352768,1.21
2015-50,1010,1978,1366123,1.45
2015-51,1014,2278,1369347,1.66
2015-52,972,2655,1258708,2.11
2016-01,1029,3329,1393405,2.39
2016-02,1026,3831,1388267,2.76
2016-03,1021,4990,1379740,3.62
2016-04,1028,6580,1391906,4.73
2016-05,1017,7545,1379302,5.47
2016-06,1029,8425,1390518,6.06
2016-07,1018,8148,1381385,5.9
2016-08,1014,8448,1375255,6.14
2016-09,996,7960,1352617,5.88
2016-10,990,7835,1343169,5.83
2016-11,977,6639,1327280,5
2016-12,934,5370,1269573,4.23
2016-13,926,4007,1261639,3.18
2016-14,911,2844,1233931,2.3
2016-15,883,2127,1146638,1.85
2016-16,813,1254,1051381,1.19
