Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2006-42,648,216,839158,0.26
2006-43,728,257,940408,0.27
2006-44,786,264,1018516,0.26
2006-45,856,482,1112240,0.43
2006-46,871,576,1128853,0.51
2006-47,879,599,1139219,0.53
2006-48,893,683,1157608,0.59
2006-49,890,751,1155228,0.65
2006-50,878,1022,1141139,0.90
2006-51,846,1221,1101079,1.11
2006-52,846,1783,1098249,1.62
2007-01,881,2069,1143863,1.81
2007-02,896,2599,1162870,2.23
2007-03,902,3639,1171110,3.11
2007-04,896,5436,1164898,4.67
2007-05,895,7210,1160725,6.21
2007-06,897,8830,1165694,7.57
2007-07,876,8729,1134904,7.69
2007-08,874,7335,1132554,6.48
2007-09,867,5202,1123879,4.63
2007-10,852,3424,1100967,3.11
2007-11,830,2417,1076824,2.24
2007-12,813,1886,1056618,1.78
2007-13,806,1421,1047465,1.36
2007-14,758,906,985213,0.92
2007-15,742,689,965529,0.71
2007-16,719,518,933995,0.55
2007-17,664,268,867269,0.31
