Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2009-42,607,1411,800360,1.76
2009-43,1094,6379,1419989,4.49
2009-44,1133,13716,1472629,9.31
2009-45,1150,18893,1494023,12.65
2009-46,1165,19515,1509971,12.92
2009-47,1141,16318,1480887,11.02
2009-48,1148,9989,1486770,6.72
2009-49,1082,5269,1400389,3.76
2009-50,1124,3284,1457341,2.25
2009-51,1132,2707,1471026,1.84
2009-52,1085,1870,1420740,1.32
2010-01,1111,1966,1443528,1.36
2010-02,1142,2169,1480339,1.47
2010-03,1134,2451,1466107,1.67
2010-04,1134,2798,1463800,1.91
2010-05,1127,2916,1458557,2
2010-06,1103,3011,1423086,2.12
2010-07,1102,2945,1425207,2.07
2010-08,1096,2802,1416534,1.98
2010-09,1077,2508,1387460,1.81
2010-10,1076,2288,1386900,1.65
2010-11,1049,1872,1352529,1.38
2010-12,1023,1693,1318026,1.28
2010-13,996,1345,1283945,1.05
2010-14,999,1204,1295391,0.93
2010-15,980,1041,1269040,0.82
