Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2014-42,888,415,1170185,0.35
2014-43,937,596,1239826,0.48
2014-44,963,832,1277547,0.65
2014-45,980,1040,1289699,0.81
2014-46,986,1091,1288281,0.85
2014-47,1001,1348,1305350,1.03
2014-48,1001,1605,1302857,1.23
2014-49,1013,1885,1326715,1.42
2014-50,1019,2326,1330494,1.75
2014-51,1002,2942,1308574,2.25
2014-52,978,3369,1280676,2.63
2015-01,968,5181,1265357,4.09
2015-02,1032,8292,1349399,6.14
2015-03,1034,12096,1352350,8.94
2015-04,1026,14601,1343495,10.87
2015-05,1029,14253,1346764,10.58
2015-06,1016,13289,1331269,9.98
2015-07,1020,10971,1335114,8.22
2015-08,1004,9059,1313972,6.89
2015-09,985,7079,1293391,5.47
2015-10,972,5541,1273824,4.35
2015-11,954,4669,1252074,3.73
2015-12,943,3974,1238646,3.21
2015-13,924,2974,1217884,2.44
2015-14,857,2148,1128669,1.9
2015-15,812,1589,1071439,1.48
2015-16,761,1148,1001441,1.15
2015-17,639,631,842408,0.75
