Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2013-42,909,428,1176370,0.36
2013-43,940,565,1222506,0.46
2013-44,951,563,1236842,0.46
2013-45,1012,885,1323302,0.67
2013-46,1020,1025,1328309,0.77
2013-47,1030,1270,1339233,0.95
2013-48,1032,1649,1342072,1.23
2013-49,1036,1914,1346922,1.42
2013-50,1026,2279,1335692,1.71
2013-51,1001,2540,1301515,1.95
2013-52,955,2770,1242917,2.23
2014-01,998,3842,1299890,2.96
2014-02,1042,5592,1356857,4.12
2014-03,1035,6836,1354251,5.05
2014-04,1037,7826,1352179,5.79
2014-05,1031,8780,1340788,6.55
2014-06,1022,8858,1328793,6.67
2014-07,1007,8227,1312968,6.27
2014-08,998,7174,1295133,5.54
2014-09,987,6061,1282037,4.73
2014-10,985,5061,1283535,3.94
2014-11,955,4201,1242618,3.38
2014-12,959,3551,1232959,2.88
2014-13,925,2494,1205979,2.07
2014-14,902,1932,1177545,1.64
2014-15,864,1388,1129183,1.23
2014-16,783,919,1023758,0.9
2014-17,805,575,1048930,0.55
