Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2007-42,822,209,1075194,0.19
2007-43,839,353,1112987,0.32
2007-44,857,290,1133791,0.26
2007-45,885,477,1172206,0.41
2007-46,899,608,1191998,0.51
2007-47,914,729,1197422,0.61
2007-48,885,914,1157504,0.79
2007-49,922,1079,1206693,0.89
2007-50,916,1444,1198903,1.2
2007-51,903,2224,1175626,1.89
2007-52,812,3126,1070366,2.92
2008-01,913,5468,1198250,4.56
2008-02,940,7390,1234887,5.98
2008-03,936,8017,1225495,6.54
2008-04,914,8346,1200731,6.95
2008-05,917,8701,1206563,7.21
2008-06,909,8287,1192437,6.95
2008-07,905,7839,1185316,6.61
2008-08,895,7421,1174934,6.32
2008-09,887,6555,1165703,5.62
2008-10,872,4705,1140119,4.13
2008-11,826,2978,1082848,2.75
2008-12,793,2009,1045931,1.92
2008-13,787,1390,1040374,1.34
2008-14,759,966,999892,0.97
2008-15,711,644,941501,0.68
2008-16,622,394,827900,0.48
2008-17,433,176,568094,0.31
