Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2011-42,943,575,1219940,0.47
2011-43,964,678,1249580,0.54
2011-44,1011,697,1309539,0.53
2011-45,1031,967,1338800,0.72
2011-46,1051,1213,1365436,0.89
2011-47,1057,1557,1371719,1.14
2011-48,1038,1735,1343497,1.29
2011-49,1062,1885,1381052,1.36
2011-50,1066,2430,1382449,1.76
2011-51,996,2843,1293427,2.2
2011-52,1025,4074,1325645,3.07
2012-01,1054,4262,1362420,3.13
2012-02,1086,5945,1402095,4.24
2012-03,1091,8885,1409479,6.3
2012-04,1089,12514,1412141,8.86
2012-05,1086,13551,1406014,9.64
2012-06,1069,12266,1383540,8.87
2012-07,1053,9713,1361116,7.14
2012-08,1020,7576,1317310,5.75
2012-09,1021,5335,1324899,4.03
2012-10,999,3815,1293421,2.95
2012-11,965,2661,1249960,2.13
2012-12,954,1842,1235802,1.49
2012-13,923,1362,1210043,1.13
2012-14,861,952,1115411,0.85
2012-15,861,933,1116569,0.84
2012-16,828,729,1070016,0.68
2012-17,691,412,889445,0.46
