Settimana,Totale Medici,Totale Casi,Totale Assistiti,Incidenza Totale
2016-42,914,711,1.195.202,0.59
2016-43,978,910,1.278.606,0.71
2016-44,1.02,1.084,1.337.438,0.81
2016-45,1.043,1.34,1.368.032,0.98
2016-46,1.051,1.726,1.378.292,1.25
2016-47,1.049,2.178,1.376.418,1.58
2016-48,1.04,2.727,1.362.363,2
2016-49,1.044,3.447,1.369.108,2.52
2016-50,1.075,6.08,1.410.698,4.31
2016-51,1.112,9.781,1.351.057,7.24
2016-52,1.047,13.051,1.364.195,9.57
2017-01,1.027,12.178,1.340.131,9.09
2017-02,1.05,11.961,1.374.557,8.7
2017-03,1.051,10.486,1.377.649,7.61
2017-04,1.036,8.996,1.360.334,6.61
2017-05,1.036,7.649,1.357.172,5.64
2017-06,1.015,5.652,1.328.704,4.25
2017-07,1.005,4.203,1.315.730,3.19
2017-08,994,3.437,1.303.076,2.64
2017-09,974,2.785,1.274.081,2.19
2017-10,964,2.219,1.261.984,1.76
2017-11,951,1.848,1.246.411,1.48
2017-12,936,1.525,1.226.681,1.24
2017-13,887,1.214,1.166.026,1.04
2017-14,878,1.007,1.152.973,0.87
2017-15,823,747,1.082.410,0.69
2017-16,743,566,977.887,0.58
2017-17,531,392,702.654,0.56
