week,incidence
2017-42,12.0594810713
2017-43,21.1187159821
2017-44,9.4257616539
2017-45,14.1993013944
2017-46,19.9108751304
2017-47,24.6864816826
2017-48,31.23136765
2017-49,38.3974132269
2017-50,46.0930870845
2017-51,55.5911909344
2017-52,62.8058514118
2018-01,98.5569970112
2018-02,159.6393119062
2018-03,255.5366269165
2018-04,332.1298198719
2018-05,428.3304205518
2018-06,580.1170556479
2018-07,575.4739516602
2018-08,639.631189255
2018-09,643.5733451692
2018-10,752.6331722288
2018-11,565.5162188781
2018-12,350.3126336585
2018-13,208.7979360707
2018-14,71.1640754098
2018-15,28.2869427472
