week,incidence
2013-42,795.4814125904
2013-43,820.1791180222999
2013-44,677.7354364631
2013-45,856.9686867336
2013-46,922.3058612100999
2013-47,876.5800074281
2013-48,860.6188610004999
2013-49,1039.3753087773
2013-50,872.7990851061
2013-51,647.8628204663
2013-52,32.0130897967
2014-01,166.59884834980002
2014-02,708.8580372002
2014-03,786.207721076
2014-04,950.6862267385001
2014-05,1105.6152786012
2014-06,1165.2826712765
2014-07,1299.2444619246
2014-08,1112.5496058605
2014-09,1316.0719519662
2014-10,1303.9366665311
2014-11,1302.0004340107
2014-12,1077.0053221575
2014-13,956.8806878454
2014-14,502.09421971449996
2014-15,33.0340834013
