week,incidence
2016-42,845.9892299265001
2016-43,618.1236850035
2016-44,714.2891862526
2016-45,794.5542270261
2016-46,895.0672151231
2016-47,832.0719932841
2016-48,800.7920381893999
2016-49,684.6482827589999
2016-50,962.2883161674
2016-51,1112.7404955888
2016-52,795.5623275339001
2017-01,1508.5899793521
2017-02,1996.2742569005
2017-03,1779.8704171867
2017-04,2016.0422253789002
2017-05,2033.2430591827
2017-06,1876.916286137
2017-07,1281.8203981243
2017-08,842.7724301249
2017-09,734.0334629164
2017-10,556.7305202227
2017-11,523.3226468839
2017-12,476.8679842574
2017-13,394.74956816779996
2017-14,160.75924725640002
2017-15,4.0234567529000005
